,1,2,3,status_Gini
0,7.0,26.0,60.0,0.2087476756407147
1,376.0,10390.0,416.0,0.03421790549489028
2,3.0,1592.0,67.0,0.02064221538098086
3,0.0,99.0,1.0,0.004974874371859297
4,0.0,9.0,0.0,0.0
5,0.0,126.0,0.0,0.0
6,0.0,114.0,0.0,0.0
7,0.0,128.0,31.0,0.08695461617688953
8,0.0,522.0,38.0,0.03273699498283602
9,0.0,86.0,2.0,0.011233019853709508
10,0.0,50.0,9.0,0.06997356554190638
11,0.0,8.0,0.0,0.0
12,0.0,15.0,0.0,0.0
13,0.0,61.0,0.0,0.0
14,0.0,10.0,0.0,0.0
15,0.0,22.0,0.0,0.0
16,0.0,5.0,0.0,0.0
17,0.0,21.0,2.0,0.04150197628458498
18,0.0,20.0,1.0,0.023228803716608595
19,0.0,8.0,0.0,0.0
20,0.0,8.0,0.0,0.0
21,0.0,4.0,0.0,0.0
22,0.0,8.0,0.0,0.0
23,0.0,8.0,0.0,0.0
24,0.0,5.0,0.0,0.0
25,0.0,3.0,1.0,0.10714285714285714
26,0.0,5.0,0.0,0.0
27,0.0,14.0,0.0,0.0
28,0.0,6.0,1.0,0.06593406593406594
29,0.0,69.0,1.0,0.007091469681397739
30,0.0,36.0,0.0,0.0
31,0.0,10.0,0.0,0.0
32,0.0,5.0,0.0,0.0
33,0.0,30.0,0.0,0.0
34,0.0,6.0,4.0,0.15
35,0.0,9.0,0.0,0.0
36,0.0,12.0,0.0,0.0
37,0.0,3.0,1.0,0.10714285714285714
38,0.0,18.0,2.0,0.04736842105263158
39,0.0,18.0,0.0,0.0
40,0.0,107.0,7.0,0.029729300627133443
41,0.0,26.0,2.0,0.0343915343915344
42,0.0,31.0,0.0,0.0
43,0.0,10.0,0.0,0.0
44,0.0,8.0,0.0,0.0
45,0.0,36.0,0.0,0.0
46,0.0,33.0,0.0,0.0
47,0.0,7.0,0.0,0.0
48,0.0,13.0,0.0,0.0
49,0.0,11.0,0.0,0.0
50,0.0,4.0,1.0,0.08888888888888889
51,0.0,8.0,0.0,0.0
52,0.0,21.0,0.0,0.0
53,0.0,38.0,1.0,0.012654012654012654
54,0.0,13.0,0.0,0.0
55,0.0,11.0,0.0,0.0
56,0.0,16.0,1.0,0.028520499108734405
57,0.0,15.0,0.0,0.0
58,0.0,8.0,0.0,0.0
59,0.0,12.0,0.0,0.0
60,0.0,13.0,0.0,0.0
61,0.0,6.0,0.0,0.0
62,0.0,35.0,0.0,0.0
63,0.0,12.0,0.0,0.0
64,0.0,19.0,0.0,0.0
65,0.0,29.0,2.0,0.031182795698924733
66,0.0,42.0,4.0,0.04150197628458498
67,0.0,6.0,0.0,0.0
68,0.0,9.0,0.0,0.0
69,0.0,9.0,0.0,0.0
70,0.0,53.0,1.0,0.009172724125995154
71,0.0,29.0,6.0,0.07767857142857143
72,0.0,6.0,0.0,0.0
73,0.0,11.0,3.0,0.09428571428571428
74,0.0,4.0,0.0,0.0
75,0.0,4.0,5.0,0.17094017094017094
76,0.0,4.0,0.0,0.0
77,0.0,10.0,5.0,0.13333333333333333
78,0.0,34.0,1.0,0.014078674948240165
79,0.0,7.0,7.0,0.16666666666666666
80,0.0,9.0,0.0,0.0
81,0.0,33.0,14.0,0.12287234042553193
82,0.0,7.0,0.0,0.0
83,0.0,5.0,0.0,0.0
84,0.0,8.0,0.0,0.0
85,0.0,5.0,0.0,0.0
86,0.0,11.0,0.0,0.0
87,0.0,28.0,0.0,0.0
88,0.0,19.0,0.0,0.0
89,0.0,20.0,0.0,0.0
90,0.0,25.0,0.0,0.0
91,0.0,6.0,0.0,0.0
92,0.0,4.0,0.0,0.0
93,0.0,5.0,0.0,0.0
94,0.0,16.0,0.0,0.0
95,0.0,10.0,0.0,0.0
96,0.0,15.0,0.0,0.0
97,0.0,0.0,4.0,0.0
98,0.0,0.0,7.0,0.0
99,0.0,0.0,4.0,0.0
100,0.0,2.0,2.0,0.16666666666666666
101,386.0,14587.0,714.0,0.03407859151959046
