,阳历年份,季节号,序号,插补号,卷号,册号,书名,出版单位,版本年号,版本年代,版本干支,版本季节,页码,地区,地名_题头,机构一,机构二,机构三,缺分,官缺等级,官职一,官职二,加级,加级军功,爵位,身份一,姓,名,字号,原籍省,原籍县,籍贯省,籍贯县,身份二,旗分,出身一,科年一,出身二,科年二,铨选年号,铨选年代,铨选闰月,铨选月,铨选方式
9612,1900.0,1.0,9612.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,俊儀,開封府,祥符縣,,最要,衝繁難,知縣,,,,,,,恩鍾,,,,,,漢軍,鑲藍,,癸未,,,,24.0,,6.0,調
9622,1900.0,1.0,9622.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,小黃,開封府,陳留縣,,簡缺,衝,知縣,,,,,,丁,炳文,,,,江蘇,宜興,,,附貢,,,,,25.0,,12.0,補
9627,1900.0,1.0,9627.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,雍邱,開封府,杞縣,,要缺,衝繁難,知縣,,,,,,蒯,籛,,,,順天,大興,,,監生,,,,,25.0,,2.0,調
9631,1900.0,1.0,9631.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,咸平,開封府,通許縣,,簡缺,,知縣,,,,,,杜,玉,,,,奉天,錦縣,,,監生,,,,,19.0,,12.0,補
9635,1900.0,1.0,9635.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,484.0,河南省,蔡陂,開封府,尉氏縣,,簡缺,衝,知縣,,,,,,鄒,邦瑞,,,,江蘇,常熟,,,監生,,,,,24.0,,4.0,選
9639,1900.0,1.0,9639.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,朱樓,開封府,洧川縣,,簡缺,,知縣,,,,,,劉,時暘,,,,湖南,湘陰,,,舉人,,,,,24.0,,11.0,補
9643,1900.0,1.0,9643.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,彪岡,開封府,鄢陵縣,,簡缺,難,知縣,,,,,,王,錫侯,叔言,,,山東,長山,,,監生,,,,,21.0,,11.0,選
9647,1900.0,1.0,9647.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,圃田,開封府,中牟縣,,中缺,衝繁,知縣,,,,,,朱,驥,,,,湖北,大治,,,舉人,,,,,10.0,,6.0,選
9653,1900.0,1.0,9653.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,東明,開封府,蘭儀縣,,中缺,衝繁,知縣,,,,,,,空白,,,,山東,長山,,,監生,,,,,21.0,,12.0,補
9664,1900.0,1.0,9664.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,成皋,開封府,榮陽縣,,簡缺,衝,知縣,,,,,,張,駿,,,,江蘇,清河,,,舉人,,,,,20.0,,5.0,補
9668,1900.0,1.0,9668.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,廣武,開封府,榮澤縣,,要缺,衝繁疲,知縣,,,,,,,連魁,,,,,,滿洲,正紅,監生,,,,,19.0,,2.0,補
9675,1900.0,1.0,9675.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,東虢,開封府,汜水縣,,簡缺,衝,知縣,,,,,,秦,鎔,,,,安徽,桐城,,,附生,,,,,25.0,,9.0,補
9687,1900.0,1.0,9687.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,苑陵,開封府,新鄭縣,,簡缺,衝,知縣,,,,,,王,溥,,,,浙江,武康,,,監生,,,,,22.0,,5.0,補
9696,1900.0,1.0,9696.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,宛邱,陳州府,淮甯縣,,要缺,繁疲難,知縣,,,,,,程,鐘,,,,江西,南昌,,,,丁丑,,,,12.0,,12.0,調
9701,1900.0,1.0,9701.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,溵木,陳州府,商水縣,,簡缺,,知縣,,,,,,李,煥新,,,,奉天,蓋平,,,歲貢,,,,,7.0,7.0,,補
9705,1900.0,1.0,9705.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,長平,陳州府,西華縣,,簡缺,難,知縣,,,,,,林,廷贊,,,,安徽,懷遠,,,監生,,,,,25.0,,9.0,補
9709,1900.0,1.0,9709.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,485.0,河南省,林陵,陳州府,項城縣,,簡缺,,知縣,,,,,,姚,禮咸,,,,廣西,番禺,,,監生,,,,,22.0,,4.0,補
9713,1900.0,1.0,9713.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,平興,陳州府,沈邱縣,,簡缺,難,知縣,,,,,,,空白,,,,山東,泰安,,,,甲戌,,,,9.0,,12.0,補
9717,1900.0,1.0,9717.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,陽夏,陳州府,太康縣,,要缺,繁疲難,知縣,,,,,,葉,濟,,,,浙江,仁和,,,舉人,,,,,23.0,,2.0,調
9722,1900.0,1.0,9722.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,北陳,陳州府,扶溝縣,,簡缺,,知縣,,,,,,楊,敬修,景堂,,,浙江,山陰,,,監生,,,,,24.0,,2.0,選
9731,1900.0,1.0,9731.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,隠強,許州直隸州,臨頴縣,,簡缺,衝,知縣,,,,,,王,爾羹,,,,江蘇,溧陽,,,監生,,,,,24.0,,8.0,補
9735,1900.0,1.0,9735.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,鄭汜,許州直隸州,襄城縣,,中缺,衝繁,知縣,,,,,,邵,壽宸,粒民,,,浙江,餘姚,,,監生,,,,,14.0,,3.0,選
9739,1900.0,1.0,9739.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,召陵,許州直隸州,郾城縣,,簡缺,衝,知縣,,,,,,于,文泉,,,,山東,蓬萊,,,,丁丑,,,,25.0,,6.0,補
9743,1900.0,1.0,9743.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,長社,許州直隸州,長葛縣,,簡缺,,知縣,,,,,,王,錫晉,,,,山西,黎城,,,舉人,,,,,3.0,,12.0,補
9753,1900.0,1.0,9753.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,雎陽,歸德府,商邱縣,,要缺,衝繁難,知縣,,,,,,許,成忠,,,,江蘇,武進,,,監生,,,,,14.0,,3.0,調
9767,1900.0,1.0,9767.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,黍邱,歸德府,夏邑縣,,中缺,衝難,知縣,,,,,,胡,嗣芬,,,,貴州,開州,,,,乙未,,,,24.0,,8.0,選
9772,1900.0,1.0,9772.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,太邱,歸德府,永城縣,,要缺,衝繁難,知縣,,,,,,岳,廷楷,,,,山東,利津,,,廩貢,,,,,25.0,,9.0,調
9777,1900.0,1.0,9777.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,486.0,河南省,古虞,歸德府,虞城縣,,中缺,衝繁,知縣,,,,,,朱,慶崧,,,,順天,宛平,,,廩貢,,,,,25.0,,11.0,調
9786,1900.0,1.0,9786.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,戴國,歸德府,考城縣,,簡缺,,知縣,,,,,,郭,藻,,,,江西,廬陵,,,舉人,,,,,9.0,,4.0,補
9791,1900.0,1.0,9791.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,古傿,歸德府,柘城縣,,簡缺,,知縣,,,,,,費,鴻年,,,,浙江,慈谿,,,監生,,,,,25.0,,8.0,選
9800,1900.0,1.0,9800.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,林城,彰德府,安陽縣,,要缺,衝繁疲,知縣,,,,,,石,庚,,,,浙江,會稽,,,舉人,,,,,25.0,,2.0,調
9805,1900.0,1.0,9805.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,相州,彰德府,湯陰縣,,中缺,衝繁,知縣,,,,,,褚,煇祖,,,,湖北,江夏,,,監生,,,,,25.0,,9.0,補
9810,1900.0,1.0,9810.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,淦水,彰德府,臨漳縣,,簡缺,繁,知縣,,,,,,周,秉彝,,,,湖北,漢陽,,,附貢,,,,,17.0,,8.0,選
9814,1900.0,1.0,9814.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,林慮,彰德府,林縣,,簡缺,繁,知縣,,,,,,曹,善臻,,,,江蘇,溧陽,,,拔貢,,,,,16.0,,8.0,選
9818,1900.0,1.0,9818.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,繁陽,彰德府,內黃縣,,要缺,繁難,知縣,,,,,,李,汝拔,,,,廣東,三水,,,舉人,,,,,25.0,,9.0,調
9828,1900.0,1.0,9828.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,刈陵,彰德府,涉縣,,簡缺,,知縣,,,,,,車,均,,,,順天,通州,,,,,,,,18.0,,12.0,補
9836,1900.0,1.0,9836.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,牧野,衛輝府,汲縣,,中缺,衝繁,知縣,,,,,,李,元楨,,,,江蘇,吳縣,,,舉人,,,,,21.0,,8.0,補
9840,1900.0,1.0,9840.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,新樂,衛輝府,新鄉縣,,中缺,衝繁,知縣,,,,,,魏,正儒,,,,四川,成都,,,舉人,,,,,17.0,,10.0,選
9844,1900.0,1.0,9844.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,487.0,河南省,甯邑,衛輝府,獲嘉縣,,中缺,衝繁,知縣,,,,,,邵,祖奭,,,,山西,高平,,,舉人,,,,,21.0,,12.0,補
9849,1900.0,1.0,9849.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,古般,衛輝府,淇縣,,簡缺,衝,知縣,,,,,,史,悠履,,,,廣東,番禺,,,舉人,,,,,23.0,,4.0,選
9852,1900.0,1.0,9852.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,其城,衛輝府,輝縣,,簡缺,繁,知縣,,,,,,廉,傑,,,,,,漢軍,鑲藍,舉人,,,,,22.0,,3.0,選
9857,1900.0,1.0,9857.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,酸棗,衛輝府,延津縣,,中缺,衝疲,知縣,,,,,,,空白,,,,山東,利津,,,廩貢,,,,,20.0,,11.0,補
9861,1900.0,1.0,9861.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,黎陽,衛輝府,濬縣,,中缺,衝繁,知縣,,,,,,韓,國鈞,,,,江蘇,泰州,,,舉人,,,,,25.0,,4.0,補
9866,1900.0,1.0,9866.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,京城,衛輝府,滑縣,,要缺,繁難,知縣,,,,,,盛,元均,,,,浙江,秀水,,,優貢,,,,,17.0,,7.0,補
9872,1900.0,1.0,9872.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,封父,衛輝府,封邱縣,,簡缺,繁,知縣,,,,,,黃,庭芝,？橋,,,廣東,文昌,,,拔貢,,,,,22.0,,10.0,選
9884,1900.0,1.0,9884.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,刑邱,懷慶府,河內縣,,要缺,衝繁,知縣,,,,,,費,堃,,,,江蘇,武進,,,附貢,,,,,24.0,,4.0,補
9889,1900.0,1.0,9889.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,王屋,懷慶府,濟源縣,,簡缺,難,知縣,,,,,,魯,恩培,,,,順天,大興,,,監生,,,,,18.0,,12.0,選
9894,1900.0,1.0,9894.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,卷縣,懷慶府,原武縣,,簡缺,難,知縣,,,,,,張,秀升,,,,山西,介休,,,監生,,,,,17.0,,7.0,選
9899,1900.0,1.0,9899.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,山陽,懷慶府,修武縣,,中缺,衝繁,知縣,,,,,,黃,銓,,,,陝西,大荔,,,監生,,,,,21.0,,6.0,補
9904,1900.0,1.0,9904.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,488.0,河南省,安昌,懷慶府,武陟縣,,,,知縣,,,,,,夏,聯鈺,,,,山東,濟甯州,,,,庚辰,,,,22.0,,10.0,調
9915,1900.0,1.0,9915.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,平皋,懷慶府,溫縣,,簡缺,繁,知縣,,,,,,秦,本提,,,,湖北,漢川,,,監生,,,,,19.0,,5.0,補
9919,1900.0,1.0,9919.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,白溝,懷慶府,陽武縣,,簡缺,繁,知縣,,,,,,白,采,子受,,,順天,通州,,,監生,,,,,18.0,,5.0,選
9929,1900.0,1.0,9929.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,伊關,河南府,洛陽縣,,要缺,衝繁難,知縣,,,,,,于,光明,,,,山東,蓬萊,,,舉人,,,,,17.0,,6.0,補
9934,1900.0,1.0,9934.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,緱氏,河南府,偃師縣,,簡缺,衝,知縣,,,,,,潘,毓岱,,,,江蘇,溧陽,,,監生,,,,,24.0,,5.0,補
9938,1900.0,1.0,9938.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,芝田,河南府,鞏縣,,簡缺,衝,知縣,,,,,,陳,吉冕,,,,山東,長清,,,副貢,,,,,21.0,,1.0,選
9945,1900.0,1.0,9945.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,甘棠,河南府,宜陽縣,,簡缺,,知縣,,,,,,周,雲,,,,山東,東阿,,,進士,,,,,23.0,,12.0,補
9950,1900.0,1.0,9950.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,審高,河南府,登封縣,,簡缺,,知縣,,,,,,汪,繼祖,,,,江蘇,江甯,,,監生,,,,,25.0,,9.0,補
9954,1900.0,1.0,9954.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,熊耳,河南府,永甯縣,,簡缺,,知縣,,,,,,張,耀斗,,,,陝西,長安,,,進士,,,,,22.0,,1.0,補
9958,1900.0,1.0,9958.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,東垣,河南府,新安縣,,簡缺,衝,知縣,,,,,,曾,慶蘭,,,,湖北,京山,,,進士,,,,,21.0,,3.0,補
9962,1900.0,1.0,9962.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,俱利,河南府,澠池縣,,簡缺,衝,知縣,,,,,,,空白,,,,廣東,三水,,,舉人,,,,,18.0,,3.0,補
9966,1900.0,1.0,9966.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,陸渾,河南府,嵩縣,,簡缺,難,知縣,,,,,,楊,振奎,,,,山西,介休,,,監生,,,,,22.0,,4.0,補
9978,1900.0,1.0,9978.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,489.0,河南省,恒農,陝州直隸州,靈寶縣,,中缺,衝繁,知縣,,,,,,徐,元釗,,,,浙江,會稽,,,副榜,,,,,25.0,,4.0,補
9983,1900.0,1.0,9983.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,湖城,陝州直隸州,閿鄉縣,,中缺,衝難,知縣,,,,,,汪,鼎臣,,,,江蘇,溧陽,,,,,,,,19.0,,4.0,補
9988,1900.0,1.0,9988.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,欒川,陝州直隸州,盧氏縣,,簡缺,,知縣,,,,,,,空白,,,,奉天,岫岩州,,,優貢,,,,,24.0,,5.0,補
9997,1900.0,1.0,9997.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,杜衍,南陽府,南陽縣,,要缺,衝繁難,知縣,,,,,,潘,守廉,,,,山東,濟寧州,,,進士,,,,,24.0,,7.0,補
10004,1900.0,1.0,10004.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,五陽,南陽府,南召縣,,簡缺,難,知縣,,,,,,,舒泰,,,,,,滿洲,正紅,進士,,,,,22.0,,4.0,補
10009,1900.0,1.0,10009.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,謀陽,南陽府,鎮平縣,,簡缺,,知縣,,,,,,徐,壽茲,,,,江蘇,元和,,,舉人,,,,,23.0,,6.0,補
10013,1900.0,1.0,10013.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,西進,南陽府,唐縣,,中缺,繁難,知縣,,,,,,沈,同芳,,,,江蘇,武進,,,,乙未,,,,24.0,,6.0,選
10018,1900.0,1.0,10018.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,慈邱,南陽府,泌陽縣,,簡缺,,知縣,,,,,,,錫鐸,,,,,,滿洲,鑲藍,,乙未,,,,24.0,,8.0,選
10030,1900.0,1.0,10030.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,菊潭,南陽府,內鄉縣,,中缺,繁難,知縣,,,,,,章,炳燾,,,,浙江,會稽,,,監生,,,,,18.0,,3.0,補
10035,1900.0,1.0,10035.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,漢廣,南陽府,新野縣,,簡缺,衝,知縣,,,,,,錢,繩祖,,,,浙江,仁和,,,監生,,,,,20.0,,7.0,補
10047,1900.0,1.0,10047.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,490.0,河南省,定陵,南陽府,舞陽縣,,簡缺,,知縣,,,,,,陳,瀚聲,,,,山東,濰縣,,,進士,,,,,25.0,,3.0,選
10051,1900.0,1.0,10051.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,汝墳,南陽府,葉縣,,簡缺,衝,知縣,,,,,,余,鉞,,,,安徽,績溪,,,監生,,,,,22.0,,2.0,補
10062,1900.0,1.0,10062.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,保城,汝甯府,汝陽縣,,中缺,繁難,知縣,,,,,,言,有章,,,,順天,宛平,,,優貢,,,,,25.0,,10.0,補
10068,1900.0,1.0,10068.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,滇陽,汝甯府,正陽縣,,簡缺,繁,知縣,,,,,,王,拱裳,,,,江蘇,吳縣,,,舉人,,,,,25.0,,10.0,選
10071,1900.0,1.0,10071.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,武津,汝甯府,上蔡縣,,中缺,繁難,知縣,,,,,,王,皋,,,,福建,閩縣,,,,丙戌,,,,22.0,,6.0,補
10075,1900.0,1.0,10075.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,鮦陽,汝甯府,新蔡縣,,簡缺,,知縣,,,,,,徐,仁麟,,,,浙江,仁和,,,監生,,,,,22.0,,8.0,補
10079,1900.0,1.0,10079.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,定穎,汝甯府,西平縣,,中缺,衝繁,知縣,,,,,,左,輔,,,,湖南,長沙,,,附生,,,,,20.0,,11.0,選
10083,1900.0,1.0,10083.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,吳房,汝甯府,遂平縣,,中缺,衝繁,知縣,,,,,,靳,介熙,,,,山東,聊城,,,廩貢,,,,,22.0,,3.0,補
10087,1900.0,1.0,10087.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,明陵,汝甯府,確山縣,,中缺,衝繁,知縣,,,,,,施,廷弼,,,,廣西,橫州,,,,戊辰,,,,13.0,,9.0,選
10098,1900.0,1.0,10098.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,寶城,汝甯府,羅山縣,,中缺,繁難,知縣,,,,,,孔,繁潔,,,,山東,曲阜,,,監生,,,,,20.0,,11.0,調
10112,1900.0,1.0,10112.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,491.0,河南省,蓼國,光州直隸州,固始縣,,要缺,繁疲難,知縣,,,,,,楊,溶,,,,福建,閩縣,,,,庚辰,,,,19.0,,4.0,調
10118,1900.0,1.0,10118.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,492.0,河南省,新息,光州直隸州,息縣,,要缺,繁疲難,知縣,,,,,,楊,清魁,,,,直隸,清苑,,,進士,,,,,22.0,,12.0,補
10122,1900.0,1.0,10122.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,492.0,河南省,雩婁,光州直隸州,商城縣,,簡缺,難,知縣,,,,,,陸,延楨,,,,江蘇,吳江,,,進士,,,,,21.0,,12.0,補
10132,1900.0,1.0,10132.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,492.0,河南省,魯陽,汝州直隸州,魯山縣,,簡缺,難,知縣,,,,,,苗,燮,,,,江蘇,上元,,,監生,,,,,21.0,,12.0,補
10137,1900.0,1.0,10137.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,492.0,河南省,龍山,汝州直隸州,郟縣,,簡缺,難,知縣,,,,,,周,鳳曦,,,,湖北,咸甯,,,附貢,,,,,25.0,,6.0,選
10144,1900.0,1.0,10144.0,0.0,67.0,2.0,縉紳全書,榮録堂,光緒,26.0,庚子,春,492.0,河南省,練溪,汝州直隸州,伊陽縣,,簡缺,,知縣,,,,,,胡,昶英,,,,順天,大興,,,監生,,,,,18.0,,3.0,補
24582,1900.0,2.0,8751.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,129.0,河南省,俊儀,開封府,祥符縣,,最要,衝繁難,知縣,,,,,,,恩鍾,,,,,,漢軍,鑲藍,,癸未,,,,24,,6.0,調
24592,1900.0,2.0,8761.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,129.0,河南省,小黃,開封府,陳留縣,,簡缺,衝,知縣,,,,,,丁,炳文,,,,江蘇,宜興,,,監生,,,,,25,,12.0,補
24597,1900.0,2.0,8766.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,129.0,河南省,雍邱,開封府,杞縣,,要缺,衝繁難,知縣,,,,,,蒯,籛,,,,順天,大興,,,監生,,,,,25,,3.0,調
24601,1900.0,2.0,8770.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,129.0,河南省,咸平,開封府,通許縣,,簡缺,,知縣,,,,,,杜,玉,,,,奉天,錦縣,,,監生,,,,,19,,12.0,補
24605,1900.0,2.0,8774.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,129.0,河南省,蔡陂,開封府,尉氏縣,,簡缺,衝,知縣,,,,,,鄒,邦瑞,,,,江蘇,常熟,,,監生,,,,,24,,4.0,選
24609,1900.0,2.0,8778.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,朱樓,開封府,洧川縣,,簡缺,,知縣,,,,,,劉,時暘,,,,湖南,湘陰,,,舉人,,,,,24,,12.0,補
24613,1900.0,2.0,8782.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,彪岡,開封府,鄢陵縣,,簡缺,難,知縣,,,,,,王,錫侯,,,,山東,長山,,,監生,,,,,21,,11.0,選
24617,1900.0,2.0,8786.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,圃田,開封府,中牟縣,,中缺,衝繁,知縣,,,,,,朱,驥,,,,湖北,大治,,,舉人,,,,,10,,6.0,選
24623,1900.0,2.0,8792.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,東明,開封府,蘭儀縣,,中缺,衝繁,知縣,,,,,,楊,錦江,,,,直隸,威縣,,,,丙戌,,,,26,,3.0,補
24634,1900.0,2.0,8803.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,成皋,開封府,榮陽縣,,簡缺,衝,知縣,,,,,,,空白,,,,江蘇,清河,,,舉人,,,,,20,,5.0,補
24638,1900.0,2.0,8807.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,廣武,開封府,榮澤縣,,要缺,衝繁疲,知縣,,,,,,,連魁,,,,,,滿洲,正紅,監生,,,,,19,,2.0,補
24645,1900.0,2.0,8814.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,東虢,開封府,汜水縣,,簡缺,衝,知縣,,,,,,秦,鎔,,,,安徽,桐城,,,附生,,,,,25,,9.0,補
24657,1900.0,2.0,8826.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,苑陵,開封府,新鄭縣,,簡缺,衝,知縣,,,,,,王,溥,,,,浙江,武康,,,監生,,,,,22,,5.0,補
24666,1900.0,2.0,8835.0,0.0,68,1.0,縉紳全書,榮祿堂,光緒,26.0,庚子,夏,130.0,河南省,宛邱,陳州府,淮甯縣,,要缺,繁疲難,知縣,,,,,,程,鐘,,,,江西,南城,,,,丁丑,,,,12,,12.0,調
