0,"[-11003913.495589433, 2235666.0152780274]"
1,"[-11003686.448347567, 2235826.8853994147]"
2,"[-11003454.760294197, 2236888.7771426565]"
3,"[-11004102.936128208, 2237082.8030525376]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
4,"[-11004597.227811562, 2235461.6781141073]"
5,"[-11004516.38683023, 2235479.316097181]"
5,"[-11004516.38683023, 2235479.316097181]"
5,"[-11004516.38683023, 2235479.316097181]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
6,"[-11004355.89113533, 2235421.948240543]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
7,"[-11004330.741150426, 2236295.530194688]"
8,"[-11004541.556206834, 2238553.4157208945]"
9,"[-11004902.336457334, 2238086.871476699]"
9,"[-11004902.336457334, 2238086.871476699]"
10,"[-11004816.199610775, 2237849.2468745615]"
10,"[-11004816.199610775, 2237849.2468745615]"
10,"[-11004816.199610775, 2237849.2468745615]"
10,"[-11004816.199610775, 2237849.2468745615]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
11,"[-11002655.72916191, 2237524.6315454156]"
12,"[-11004899.706410049, 2237302.7251584963]"
12,"[-11004899.706410049, 2237302.7251584963]"
12,"[-11004899.706410049, 2237302.7251584963]"
12,"[-11004899.706410049, 2237302.7251584963]"
13,"[-11002889.134383941, 2236733.74072771]"
13,"[-11002889.134383941, 2236733.74072771]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
14,"[-11002560.966954064, 2237002.678131443]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
15,"[-11002631.513976756, 2236791.249769365]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
16,"[-11004835.247425403, 2236861.2461033575]"
