,centers
130,"[-11001823.714667303, 2233676.446791157]"
131,"[-11001731.639483154, 2233754.2344467323]"
132,"[-11001696.714413304, 2233730.4218991073]"
133,"[-11001707.826935528, 2233687.559313382]"
134,"[-11001614.164248204, 2233808.2095546825]"
135,"[-11001553.839127554, 2233790.7470197575]"
136,"[-11001547.489114853, 2233679.621797507]"
137,"[-11001566.539152954, 2233660.571759407]"
138,"[-11001509.389038652, 2233674.8592879823]"
139,"[-11001507.801535478, 2233643.109224482]"
140,"[-11001498.276516428, 2233709.7843578323]"
141,"[-11001444.301408477, 2233728.8343959325]"
142,"[-11001466.526452927, 2233703.434345132]"
143,"[-11001464.938949753, 2233660.571759407]"
144,"[-11001433.188886253, 2233646.284230832]"
145,"[-11001514.151548177, 2233400.2212387063]"
146,"[-11001501.451522777, 2233371.646181556]"
147,"[-11001530.026579928, 2233285.921010106]"
148,"[-11001450.651421178, 2233254.1709466055]"
149,"[-11001426.838873552, 2233235.1209085053]"
150,"[-11001218.558456993, 2233011.28296083]"
151,"[-11001105.26364707, 2234375.00110492]"
152,"[-11001103.940727757, 2234352.511476608]"
153,"[-11001064.253148383, 2234488.7721657953]"
154,"[-11001614.587582383, 2234500.678439608]"
155,"[-11001619.879259633, 2234683.2413047333]"
156,"[-11001654.275161758, 2234689.855901296]"
157,"[-11001602.681308571, 2234664.7204343583]"
158,"[-11001561.670809884, 2234865.804169859]"
159,"[-11000563.660480531, 2234613.126581171]"
160,"[-11000399.61848578, 2234549.626454171]"
161,"[-11000209.11810478, 2234785.1060917964]"
162,"[-10999666.721186653, 2234425.272038795]"
163,"[-10999558.241803028, 2234467.6054567955]"
164,"[-10999592.637705153, 2234520.5222292957]"
165,"[-10999756.679699903, 2234660.751676421]"
166,"[-11000930.373713957, 2235070.8566632974]"
167,"[-11001152.624158459, 2235015.2940521725]"
168,"[-11001210.832608208, 2235092.0233722976]"
169,"[-11001099.707385957, 2235240.1903352984]"
170,"[-11001800.854621585, 2234548.568118719]"
171,"[-11001978.12580946, 2234590.901536719]"
172,"[-11001885.521457586, 2234794.6311108447]"
173,"[-11001880.229780335, 2234821.089497095]"
174,"[-11001795.562944336, 2234850.19372197]"
175,"[-11001755.875364961, 2234948.089751095]"
176,"[-11001750.58368771, 2235014.2357167206]"
177,"[-11001650.04181996, 2234995.7148463456]"
178,"[-11001636.812626835, 2234990.4231690955]"
179,"[-11001425.145536834, 2234974.5481373454]"
180,"[-11001382.812118834, 2235032.7565870956]"
181,"[-11001430.437214084, 2235085.6733595957]"
182,"[-11001422.499698209, 2235117.4234230956]"
183,"[-11001499.229018334, 2235035.4024257204]"
184,"[-11001525.687404584, 2235024.8190712207]"
185,"[-11001581.25001571, 2235048.6316188457]"
186,"[-11001615.645917835, 2235104.1942299707]"
187,"[-11001644.75014271, 2235098.9025527206]"
188,"[-11001644.75014271, 2235130.652616221]"
189,"[-11001615.645917835, 2235128.0067775957]"
190,"[-11001708.25026971, 2235122.7151003457]"
191,"[-11001678.352293247, 2235142.0297223087]"
192,"[-11001713.277363097, 2235215.054868359]"
193,"[-11001721.744046697, 2235178.0131276087]"
194,"[-11001756.669116547, 2235178.0131276087]"
195,"[-11001754.552445648, 2235238.338248259]"
196,"[-11001543.943691097, 2235390.7385530598]"
197,"[-11001514.310298497, 2235339.938451459]"
198,"[-11001483.618570447, 2235316.6550715594]"
199,"[-11001547.118697448, 2235479.63873086]"
200,"[-11001327.514091572, 2235155.7880831584]"
201,"[-11001353.972477822, 2235163.7255990333]"
202,"[-11001348.680800572, 2235343.6426255344]"
203,"[-11001430.701797947, 2235351.5801414093]"
204,"[-11001420.118443448, 2235475.934556785]"
205,"[-11001380.430864073, 2235428.309461535]"
206,"[-11001332.805768823, 2235467.99704091]"
207,"[-11001306.347382572, 2235515.6221361603]"
208,"[-11001512.722795323, 2235637.330712911]"
209,"[-11001573.5770837, 2235629.393197036]"
210,"[-11001618.556340324, 2235658.497421911]"
211,"[-11001626.4938562, 2235751.101773787]"
212,"[-11000672.933615744, 2236217.2985395086]"
213,"[-11002329.757762726, 2235619.339010255]"
214,"[-11002229.215894977, 2235666.964105505]"
215,"[-11002081.048931975, 2235786.026843631]"
216,"[-11001724.654469185, 2236140.5692193834]"
217,"[-11001734.444072098, 2236151.152573883]"
218,"[-11001766.194135599, 2236394.5697273845]"
219,"[-11001787.3608446, 2236373.4030183842]"
220,"[-11001693.168989548, 2236662.8577639614]"
221,"[-11001700.577337697, 2236638.516048611]"
222,"[-11001935.527807599, 2236602.532643311]"
223,"[-11002026.544656299, 2236348.53213531]"
224,"[-11001969.394542, 2236330.54043266]"
225,"[-11001954.577845698, 2236226.8235585596]"
226,"[-11002185.2949738, 2236166.4984379094]"
227,"[-11002809.421847055, 2235826.5610913723]"
228,"[-11002814.713524304, 2235808.5693887225]"
229,"[-11002796.721821655, 2235801.1610405724]"
230,"[-11002791.430144405, 2235820.211078672]"
231,"[-11002615.746459704, 2235891.1195538226]"
232,"[-11002622.096472405, 2235869.952844823]"
233,"[-11002494.037882954, 2235897.4695665226]"
234,"[-11002486.629534803, 2235883.7112056725]"
235,"[-11002676.071580354, 2236091.1449538735]"
236,"[-11002681.363257604, 2236242.486923224]"
237,"[-11002640.934843412, 2236487.385746354]"
238,"[-11002829.053969651, 2236443.9939929033]"
239,"[-11003346.712296635, 2236067.0501834624]"
240,"[-11003340.097700074, 2236059.906419175]"
241,"[-11002642.345957343, 2234922.063518484]"
242,"[-11002795.143137936, 2234892.2978339526]"
243,"[-11002414.80383558, 2234808.4247495495]"
244,"[-11002561.383295406, 2234802.6039045746]"
245,"[-11002942.384057406, 2234425.836484373]"
246,"[-11003113.834400307, 2234461.819889673]"
247,"[-11003145.584463809, 2234459.703218773]"
248,"[-11003228.134628909, 2234423.719813473]"
249,"[-11003162.517831009, 2234601.5201690737]"
250,"[-11003401.701642709, 2234698.887030474]"
251,"[-11003422.86835171, 2234684.070334174]"
252,"[-11003532.935238509, 2234694.653688674]"
253,"[-11003120.184413008, 2234993.104285575]"
254,"[-11003145.584463809, 2235007.920981875]"
255,"[-11003122.301083907, 2235029.0876908754]"
256,"[-11004622.610647038, 2234776.5423941193]"
