,centers
570,"[-11001976.866831211, 2237340.91564786]"
571,"[-11002259.971564088, 2237285.3530367347]"
572,"[-11002326.117529713, 2237227.1445869845]"
573,"[-11002328.763368338, 2237576.3952854862]"
574,"[-11001720.220484585, 2236991.664949358]"
575,"[-11001794.303966084, 2236944.039854108]"
576,"[-11002535.13878109, 2236634.476734981]"
577,"[-11006009.63995229, 2237211.74492431]"
578,"[-11006011.227455465, 2237192.69488621]"
579,"[-11005992.177417364, 2237200.632402085]"
580,"[-11006036.627506265, 2237000.6070020343]"
581,"[-11005936.61480624, 2237135.5447719097]"
582,"[-11005931.852296714, 2237156.1823131847]"
583,"[-11005909.627252264, 2237184.757370335]"
584,"[-11005860.41465384, 2237213.332427485]"
585,"[-11005857.239647489, 2237097.4446957097]"
586,"[-11005790.56451414, 2237119.6697401595]"
587,"[-11005947.727328464, 2237411.7703243606]"
588,"[-11005933.43979989, 2237327.6326560853]"
589,"[-11005757.226947464, 2237438.7578783357]"
590,"[-11005777.86448874, 2237405.4203116605]"
591,"[-11005788.977010963, 2237360.9702227605]"
592,"[-11005674.676782364, 2237075.2196512595]"
593,"[-11005663.564260138, 2236948.219397259]"
594,"[-11005687.376807764, 2236881.5442639086]"
595,"[-11005758.814450638, 2236906.944314709]"
596,"[-11004788.679531405, 2237281.258119867]"
597,"[-11004514.041482128, 2237347.9332532175]"
598,"[-11004128.57347839, 2237074.0401471155]"
599,"[-11004191.015269939, 2237066.6317989654]"
600,"[-11004149.74018739, 2237080.3901598155]"
601,"[-11004403.430118106, 2238167.2714602523]"
602,"[-11004304.502211927, 2238360.206012782]"
603,"[-11004531.328134105, 2235951.755856476]"
604,"[-11004581.069900256, 2235918.9474575254]"
605,"[-11004202.212267539, 2237929.043977745]"
606,"[-11004618.773100663, 2237926.6627229825]"
607,"[-11004651.31691575, 2237965.55655077]"
608,"[-11004636.235635588, 2238034.612938883]"
609,"[-11004153.793420698, 2237610.2733402033]"
610,"[-11004037.905688923, 2237570.585760828]"
611,"[-11003907.730428573, 2238002.3866244303]"
612,"[-11003987.220240328, 2238785.7312466805]"
613,"[-11003968.699369954, 2238778.455190462]"
614,"[-11003963.407692704, 2238789.0385449617]"
615,"[-11003740.720684826, 2238629.891351664]"
616,"[-11003747.864449114, 2238600.5225429265]"
617,"[-11003523.867751118, 2238604.8088014997]"
618,"[-11003502.357083095, 2238776.2591444016]"
619,"[-11002910.43006591, 2238840.023855263]"
620,"[-11002757.71226048, 2238324.4028240237]"
621,"[-11004774.736484705, 2238247.915853941]"
622,"[-11002583.406633278, 2238151.4551922684]"
623,"[-11001878.131889397, 2237502.483894326]"
624,"[-11002374.358923536, 2237171.2601763248]"
625,"[-11002318.79631241, 2237157.3695235434]"
626,"[-11001817.806768764, 2237152.4747220883]"
627,"[-11002538.259806914, 2236775.023793577]"
628,"[-11002544.609819613, 2236747.242488015]"
629,"[-11006300.615873288, 2237016.9262044616]"
630,"[-11006232.353236763, 2237141.5452036997]"
631,"[-11005916.440104937, 2237320.139310888]"
632,"[-11005910.090092236, 2237339.1893489882]"
633,"[-11005571.47566501, 2237171.7077640253]"
634,"[-11005586.556945173, 2237225.6828719755]"
635,"[-11005588.144448347, 2236822.4570655245]"
636,"[-11005587.350696761, 2236954.21982905]"
637,"[-11005560.363142785, 2237279.657979925]"
638,"[-11005615.132002322, 2237294.7392600877]"
639,"[-11005648.469568998, 2236994.7011600123]"
640,"[-11004986.956995973, 2236964.538599687]"
641,"[-11004481.49598505, 2236885.5603167308]"
642,"[-11004518.008558074, 2236947.4729405562]"
643,"[-11004553.727379512, 2237068.916933444]"
644,"[-11004725.971474, 2236978.4292524685]"
645,"[-11004864.878001813, 2236999.860545331]"
646,"[-11004905.359332776, 2237011.7668191437]"
647,"[-11002637.522852669, 2236091.0590749495]"
648,"[-11001987.30801057, 2236197.1572038135]"
649,"[-11006682.348650647, 2236756.7520730034]"
650,"[-11006713.30496256, 2236779.770869041]"
651,"[-11006763.311312573, 2236761.5145825283]"
652,"[-11006201.335188625, 2236482.114023728]"
653,"[-11006333.09795215, 2236950.427460354]"
654,"[-11006333.891703738, 2236678.9644174282]"
655,"[-11006360.879257713, 2236654.358118216]"
656,"[-11006421.998129949, 2236496.401552303]"
657,"[-11006235.466506887, 2236734.5270285537]"
658,"[-11006506.929549813, 2236703.570716641]"
659,"[-11006517.24832045, 2236755.958321416]"
660,"[-11005737.784261523, 2236612.289284078]"
661,"[-11003188.254162464, 2235808.615801733]"
662,"[-11001544.156499285, 2235538.197865061]"
663,"[-11007147.35478905, 2236301.786892257]"
664,"[-11006678.776768565, 2236313.693166071]"
665,"[-11006706.558074128, 2236288.557699133]"
666,"[-11006836.204166753, 2236199.9221051955]"
667,"[-11005026.027213054, 2235056.919819197]"
668,"[-11005091.908594817, 2235527.6145105856]"
669,"[-11002675.643564267, 2234701.4943576828]"
670,"[-11002978.856670694, 2234672.9193005324]"
671,"[-11002622.462207906, 2234434.7938242815]"
672,"[-11004384.855316019, 2234409.287939939]"
673,"[-11003787.954122217, 2234195.768762901]"
674,"[-11004769.295668235, 2234151.054090136]"
675,"[-11004716.114311872, 2234151.8478417234]"
676,"[-11001386.38995437, 2233426.806401851]"
677,"[-11001331.4888029, 2233416.8845070074]"
678,"[-11001371.176382275, 2233275.33214057]"
679,"[-11001208.457306836, 2233223.7382873828]"
680,"[-11006175.62244951, 2233730.813259866]"
681,"[-11005317.576983418, 2233894.326086891]"
682,"[-11004848.258128123, 2232199.401863709]"
683,"[-11004904.614490837, 2232213.689392284]"
684,"[-11003020.154978085, 2235457.5131771374]"
685,"[-11003020.816437742, 2235441.638145387]"
686,"[-11002964.59236696, 2235399.304727387]"
687,"[-11005382.95920272, 2233674.4782981686]"
688,"[-11006065.309323343, 2236940.593998011]"
689,"[-11006527.304166555, 2236377.261330549]"
690,"[-11006160.958187286, 2236183.895585633]"
691,"[-11006173.658212684, 2236144.2080062577]"
692,"[-11006086.34553806, 2236180.720579283]"
693,"[-11005895.845157059, 2236217.233152308]"
694,"[-11001396.920699721, 2234841.459758487]"
695,"[-11001392.951941783, 2234816.324291549]"
696,"[-11004873.46683951, 2232293.497288628]"
697,"[-11004906.316765243, 2232451.7356520654]"
698,"[-11002086.117932083, 2233622.78901482]"
699,"[-11003606.347166708, 2238654.874169667]"
700,"[-11003594.260093953, 2238364.8902563653]"
701,"[-11003573.75484461, 2238315.942241802]"
702,"[-11004800.49792313, 2237783.3349265764]"
703,"[-11005011.635845412, 2238032.572925058]"
704,"[-11005887.426069323, 2237228.101281363]"
705,"[-11005834.059504267, 2236865.691945418]"
706,"[-11005924.018017525, 2236897.4420089205]"
707,"[-11005557.833951797, 2236445.5327717373]"
708,"[-11002772.603728367, 2235507.230200618]"
709,"[-11002777.366237892, 2235496.1176783917]"
710,"[-11007206.366481598, 2235600.5286441874]"
711,"[-11006527.047414547, 2235966.845001864]"
712,"[-11006597.294430047, 2235983.5137852035]"
713,"[-11006599.741830777, 2235476.7033965243]"
