,cluster,high,mid,low,status_Gini,avg_status
0,0.0,0.0,912.0,5.0,0.002718828423443217,1.994547437295529
1,1.0,2.0,793.0,7.0,0.0055871890006066755,1.9937655860349128
2,2.0,56.0,572.0,14.0,0.048876296264971364,2.0654205607476634
3,3.0,0.0,1149.0,8.0,0.0034452231261726768,1.993085566119274
4,4.0,0.0,118.0,38.0,0.10490361220288227,1.7564102564102564
5,5.0,28.0,661.0,24.0,0.03502976686707402,2.005610098176718
6,6.0,0.0,692.0,43.0,0.028370254899436998,1.9414965986394557
7,7.0,0.0,724.0,61.0,0.03728288443437042,1.9222929936305733
8,8.0,25.0,1101.0,21.0,0.01961297606880021,2.003487358326068
9,9.0,0.0,199.0,10.0,0.023337086030584483,1.9521531100478469
10,10.0,4.0,747.0,25.0,0.018402331203242944,1.972938144329897
11,11.0,0.0,458.0,68.0,0.06017187548301337,1.870722433460076
12,12.0,0.0,185.0,55.0,0.09975490196078432,1.7708333333333333
13,13.0,105.0,1006.0,6.0,0.0433337260227609,2.0886302596239927
14,14.0,2.0,814.0,54.0,0.031187013128506837,1.9402298850574713
15,15.0,110.0,970.0,23.0,0.05300929669272124,2.0788757932910245
16,16.0,0.0,1047.0,32.0,0.014605349540574918,1.9703429101019463
17,17.0,45.0,903.0,20.0,0.03186886012786528,2.0258264462809916
18,18.0,8.0,978.0,58.0,0.03077354028252475,1.9521072796934866
19,19.0,1.0,558.0,142.0,0.09058996946697877,1.7988587731811698
