,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,48623.54542817322,170,361,42,2058,14269184.635573056,0.0034075910200891788,0,149,21,0.05769869076157109,1.8764705882352941
1,1.0,132531.97754418215,417,850,90,1350,24341304.837205663,0.00544473595111496,2,397,18,0.023488299824687926,1.961630695443645
2,2.0,105335.31466151189,350,724,56,2072,13221994.789332272,0.007966673436182126,0,326,24,0.03306846999154691,1.9314285714285715
3,3.0,81506.28888317221,261,532,33,1485,5936147.089765197,0.013730503582652325,0,251,10,0.018782926245210732,1.9616858237547892
4,4.0,128762.9241198527,404,816,49,2107,16668824.580483781,0.007724775283232095,0,396,8,0.009801980198019802,1.9801980198019802
5,5.0,175722.82655251992,545,1091,51,102,10498308.430640675,0.01673820384621679,0,544,1,0.0009165887397747281,1.998165137614679
6,6.0,164376.66913080608,480,934,100,100,30126896.787948243,0.005456143401950452,34,438,8,0.04001859364435429,2.0541666666666667
7,7.0,91553.2216871884,287,579,30,570,6901950.412885453,0.013264833302230775,0,282,5,0.008634256566015321,1.9825783972125435
8,8.0,65805.85414296674,239,511,65,1105,31565960.7748814,0.0020847093681790204,0,206,33,0.06391801043674487,1.8619246861924685
9,9.0,22879.240632432262,92,205,31,930,7536491.936860403,0.0030357944815852128,0,71,21,0.09942651373699653,1.7717391304347827
10,10.0,142187.89319190444,315,569,97,776,29565321.250952613,0.004809279492855944,64,248,3,0.07810166999747317,2.193650793650794
11,11.0,100631.46954287308,329,675,60,2760,24796205.687244978,0.004058341458049661,0,312,17,0.025150671680362658,1.9483282674772036
12,12.0,116735.23397712526,344,685,90,1170,31065597.859719556,0.003757701187798067,7,333,4,0.01564550869989567,2.008720930232558
13,13.0,84362.45718981713,273,557,61,1708,19803845.51102274,0.004259902812454345,0,262,11,0.019732292629488894,1.9597069597069596
14,14.0,59462.50470998023,193,393,26,572,6821893.710182981,0.008716422042932314,0,186,7,0.01779977305972904,1.9637305699481866
15,15.0,146632.6880603958,435,863,55,165,10717564.69946549,0.013681530475641421,9,424,2,0.012319951768699459,2.0160919540229885
16,16.0,28706.271567420255,121,276,64,1664,22084860.47965416,0.001299816749753349,0,87,34,0.11753019707565161,1.71900826446281
17,17.0,120201.2107464316,391,803,81,567,23574865.461904388,0.005098701875549185,0,370,21,0.02611317051530662,1.9462915601023019
18,18.0,63701.87424443107,202,409,34,1326,5426380.646582528,0.011739293351001791,0,197,5,0.012221146926722748,1.9752475247524752
19,19.0,70909.06962048724,235,486,53,1537,21276997.269662384,0.003332663379225616,0,219,16,0.03284281563408005,1.9319148936170212
20,20.0,101673.22372208268,315,630,33,759,5141704.373861877,0.01977422588489214,0,315,0,0.0,2.0
21,21.0,114019.87013120655,366,741,52,1300,11452492.097844673,0.009955900354008083,1,355,10,0.01483270223491977,1.9754098360655739
22,22.0,126518.35767993065,350,676,52,1768,15141044.279269703,0.008355986241527127,29,316,5,0.0435438042620363,2.0685714285714285
23,23.0,18262.329944616755,74,165,38,1178,15257876.997376453,0.0011969115983669883,0,57,17,0.09995873736331752,1.7702702702702702
24,24.0,152895.8087032279,302,486,155,4960,63720554.706088096,0.0023994739124362906,120,180,2,0.10291500798004073,2.390728476821192
25,25.0,78459.84173436258,269,567,63,2520,30252683.14194442,0.0025934837371690976,0,240,29,0.05083223172486324,1.8921933085501859
26,26.0,80516.37061243888,251,504,43,430,8154616.399155334,0.009873716514829427,0,249,2,0.00396812749003984,1.9920318725099602
27,27.0,103305.6089326451,343,708,58,1160,10930887.263387661,0.00945079813224869,0,321,22,0.03100741157048017,1.935860058309038
28,28.0,138466.3684841386,446,912,76,684,15360545.493629761,0.009014417394327734,0,426,20,0.0219072695108405,1.9551569506726458
29,29.0,57958.16820920846,222,489,72,2952,35714784.32046424,0.0016228060539063363,0,177,45,0.08992074781548465,1.7972972972972974
30,30.0,109979.43701962565,298,592,52,1820,18810637.87132203,0.005846661754479685,18,266,14,0.05042505592841163,2.0134228187919465
31,31.0,94322.31969783203,309,637,69,345,22637099.215953425,0.004166714065173098,0,290,19,0.02976914058490148,1.9385113268608414
32,32.0,175844.8181285286,490,957,82,0,17561650.339145992,0.010013000756344622,23,467,0,0.021854843632368202,2.046938775510204
33,33.0,158409.53609463072,495,991,42,756,7057626.206207295,0.022445158112129403,0,494,1,0.001009079674398178,1.997979797979798
34,34.0,86161.44650829396,289,601,74,3108,13139437.816093443,0.006557468265709338,0,266,23,0.038143333645063754,1.9204152249134947
35,35.0,32774.19687937748,123,267,42,2016,11535608.625026423,0.0028411328734119917,0,102,21,0.07739837398373983,1.829268292682927
36,36.0,77400.99635118831,269,564,79,2133,36415447.02377884,0.0021254990032292176,0,243,26,0.0458730250929368,1.903345724907063
37,37.0,181337.8839048919,493,964,97,3201,29686531.31960482,0.00610842277100718,35,445,13,0.044813902572523254,2.0446247464503045
38,38.0,88251.87407861454,282,571,39,1833,12410102.763156975,0.007111292771935465,0,275,7,0.012255370080344297,1.975177304964539
39,39.0,161314.98934909253,505,1016,52,1872,9695742.881915716,0.01663771320194285,0,499,6,0.005905092501282001,1.988118811881188
40,40.0,128009.82294654587,405,822,123,492,29316646.760959513,0.004366455140327113,5,383,17,0.02659735759150964,1.9703703703703703
41,41.0,124011.20761461915,396,803,92,1104,20583312.524194315,0.00602484208840789,0,385,11,0.013693270735524255,1.9722222222222223
42,42.0,150348.84711947074,464,930,70,980,17537484.231549244,0.008572999703629045,2,458,4,0.006432933641170775,1.9956896551724137
43,43.0,135528.80483412583,325,616,58,348,11299755.203751205,0.011993959372600747,38,283,4,0.05483580746738641,2.1046153846153848
44,44.0,50697.92654804337,219,499,121,1331,30754715.164573647,0.0016484602857399343,0,158,61,0.11673509925753667,1.721461187214612
45,45.0,75274.97031432546,260,549,60,960,17993955.87385277,0.00418334749968507,1,229,30,0.05607864640451198,1.8884615384615384
46,46.0,106145.25241222105,332,664,57,1368,16963144.949403353,0.006257404079775579,0,332,0,0.0,2.0
47,47.0,120093.10148017583,378,762,47,1786,17872380.589708917,0.006719479863210084,0,372,6,0.007873015873015874,1.9841269841269842
48,48.0,72337.16852698218,231,475,56,1176,22869907.69943376,0.0031629847167583096,2,214,15,0.03565402674534078,1.9437229437229437
49,49.0,62456.2205455183,207,429,45,1980,13392608.341866283,0.004663484434938304,0,192,15,0.03486978315353602,1.9275362318840579
