,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,4881157.928510355,14955,30113,2908,0.0,54237111097.89774,8.999664306787813e-05,386,13980,589,0.03170429140677719,1.986425944500167
1,1.0,56210.84244357672,179,361,21,21.0,3398590.1602932164,0.016539458949862633,0,176,3,0.008309072310960737,1.9832402234636872
2,3.0,57821.83860732797,232,519,104,208.0,61522727.31075193,0.0009398451781122977,0,177,55,0.10259463788887951,1.7629310344827587
3,4.0,22082.754804437456,82,177,22,88.0,1492055.708279386,0.01480022138711089,0,69,13,0.07244387013406559,1.8414634146341464
4,5.0,13939.154767832073,53,116,28,140.0,4681164.610537099,0.0029777108748655495,0,43,10,0.0845125786163522,1.8113207547169812
5,11.0,4823.683161621174,19,42,6,42.0,95670.9724992368,0.05041950589202649,0,15,4,0.09287925696594426,1.7894736842105263
6,14.0,4478.890082992002,19,42,8,24.0,484751.3352225102,0.009239562137433011,0,15,4,0.09287925696594426,1.7894736842105263
7,15.0,11299.863183982374,47,107,17,136.0,977771.1042863284,0.011556757133081881,0,34,13,0.11610191752035724,1.7234042553191489
8,16.0,756.4858279948055,6,16,5,45.0,33023.91754641357,0.022907210415953835,0,2,4,0.16666666666666666,1.3333333333333333
