,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,72390.78218639834,233,474,36,72.0,3649551.5035484973,0.0198355283151949,0,225,8,0.01686751504020091,1.9656652360515021
1,1.0,58635.91300278672,182,364,21,735.0,1227842.3792802307,0.04775524447784534,0,182,0,0.0,2.0
2,2.0,32200.735102874518,102,206,15,1245.0,3014116.376495247,0.010683308499294535,0,100,2,0.009706853038245,1.9803921568627452
3,3.0,33386.03210802434,133,296,56,3808.0,6826591.479269461,0.004890585910905731,0,103,30,0.09844526570663949,1.7744360902255638
4,4.0,79435.40318665035,240,475,49,2646.0,5363271.135784983,0.014810998954842877,11,223,6,0.03370274914089347,2.0208333333333335
5,5.0,29004.974712770047,93,188,14,1232.0,1631916.7284078475,0.01777356295689687,0,91,2,0.010635811126694717,1.978494623655914
6,6.0,53442.10319746966,72,81,62,62.0,15119443.090531515,0.003534660825631702,63,9,0,0.03804347826086957,2.875
7,7.0,45851.23132280396,150,309,36,1584.0,4603931.957660849,0.009959146169940335,0,141,9,0.02907216494845361,1.94
8,8.0,63741.722412593735,201,406,38,646.0,3160634.4291013763,0.020167382164066543,0,197,4,0.009850246256156403,1.9800995024875623
9,9.0,74632.03634805437,235,473,20,520.0,1808096.3150335106,0.04127658229681817,0,232,3,0.006341974577429496,1.9872340425531916
10,10.0,60131.4397453391,187,375,28,2268.0,3447733.215085967,0.017440862153204555,0,186,1,0.0026666284354346175,1.9946524064171123
11,11.0,71868.44651445982,227,460,63,315.0,8650199.144032855,0.008308299649267225,3,215,9,0.02590072372561359,1.973568281938326
12,12.0,19324.03425901973,63,131,15,510.0,2424641.187366397,0.00796985317238183,0,58,5,0.03804276531549259,1.9206349206349207
13,13.0,34135.29234810844,121,258,28,644.0,5063385.7455334095,0.006741594273796023,0,105,16,0.06143494478168654,1.8677685950413223
14,14.0,46882.66448290071,149,301,19,1767.0,1112142.2554028274,0.042155276678988704,0,146,3,0.009964736662495735,1.9798657718120805
15,15.0,22879.240632432262,92,205,31,1488.0,7536491.936860403,0.0030357944815852128,0,71,21,0.09942651373699653,1.7717391304347827
16,16.0,52162.68232120601,162,329,37,1184.0,4462882.982445549,0.011688113384640472,2,153,7,0.027187584658849025,1.9691358024691359
17,17.0,61309.23440527382,189,379,17,1326.0,1959874.8175622122,0.031282219586623,0,188,1,0.0026384853971060866,1.9947089947089947
18,18.0,84519.04143655198,271,549,35,2275.0,2312324.4701189147,0.03655154911378223,0,264,7,0.012746146153050317,1.9741697416974169
19,19.0,88167.96852102924,258,510,30,120.0,2301775.204879683,0.038304334990713354,6,252,0,0.011226944667201283,2.0232558139534884
20,20.0,52783.20498159524,159,322,30,600.0,2153751.7617898635,0.02450756206821628,2,151,6,0.02467652125145215,1.9748427672955975
21,21.0,37178.6297012861,154,348,51,3621.0,9830715.905144664,0.0037818842554314465,0,114,40,0.11048652839697617,1.7402597402597402
22,22.0,6542.620764556796,28,63,12,564.0,1986780.7008367719,0.003293076463749241,0,21,7,0.10714285714285714,1.75
23,23.0,67900.57910323181,155,289,40,360.0,4315255.735242427,0.01573500697738305,22,132,1,0.06003313517201053,2.1354838709677417
24,24.0,8548.009624159782,39,91,22,2156.0,3056102.427863399,0.0027970298201477227,0,26,13,0.13333333333333333,1.6666666666666667
25,25.0,67865.07347061305,211,424,29,1769.0,1662691.336154316,0.04081639928886622,0,209,2,0.004716768223877229,1.990521327014218
26,26.0,42728.86536788829,151,321,38,2850.0,3409241.4169057994,0.012533247178097664,0,132,19,0.05869000538225727,1.8741721854304636
27,27.0,90583.45575336026,285,572,27,729.0,2107327.89713772,0.04298498391085474,0,283,2,0.0034964170990857426,1.9929824561403509
28,28.0,52466.054992927915,164,331,39,585.0,3021635.025457903,0.017363465326186156,1,159,4,0.015065666041275797,1.9817073170731707
29,29.0,88720.598061242,245,466,57,3135.0,8455323.62511563,0.01049286839804771,27,215,3,0.052505360120701984,2.0979591836734692
30,30.0,47427.43988367276,148,296,15,465.0,1052490.792786299,0.04506209480285931,0,148,0,0.0,2.0
31,31.0,44981.760234160734,143,289,18,1620.0,997664.2558049302,0.045087072101093556,0,140,3,0.010378314265240062,1.979020979020979
32,32.0,29345.953452148136,103,217,22,1518.0,4914207.38121545,0.0059716554829010665,0,92,11,0.05038586009459796,1.8932038834951457
33,33.0,47880.62585774979,153,310,37,1591.0,5224009.0838315,0.009165494372117782,0,149,4,0.01289875773709042,1.973856209150327
34,34.0,92031.93145973209,236,458,42,420.0,4585700.390530298,0.020069329354744293,16,218,2,0.03477017507149334,2.059322033898305
35,35.0,40269.14388765874,112,218,22,0.0,1267242.1696650784,0.03177699168447144,6,106,0,0.024689440993788822,2.0535714285714284
36,36.0,58745.911050334515,190,387,30,1350.0,4482392.171931005,0.013105928441113376,0,183,7,0.01807534923098631,1.9631578947368422
37,37.0,60833.32740248703,192,395,45,945.0,6427322.092262899,0.009464801441290326,2,177,13,0.03779881590705988,1.9427083333333333
38,38.0,61677.729311694835,203,418,35,770.0,4444105.203514173,0.013878548433759673,1,189,13,0.03340751669125553,1.9408866995073892
39,39.0,75343.43678729526,240,487,31,1984.0,4062250.131269527,0.018547217515566688,0,233,7,0.014367512332628611,1.9708333333333334
40,40.0,48031.44357489054,164,346,41,2870.0,11598157.163897472,0.004141299595801472,0,146,18,0.051691581431943356,1.8902439024390243
41,41.0,51557.80474990012,163,330,26,2314.0,2437916.979969471,0.02114830208473537,0,159,4,0.012117517052166292,1.9754601226993864
42,42.0,25522.02217190429,79,159,11,319.0,668353.1481830247,0.038186432189760894,0,78,1,0.0062888010965089095,1.9873417721518987
43,43.0,36513.733251171114,114,228,15,570.0,627990.9359816661,0.058143726539768265,0,114,0,0.0,2.0
44,44.0,13959.154767832073,55,122,30,1470.0,6825445.728189682,0.0020451638359938245,0,43,12,0.09573283858998145,1.7818181818181817
45,45.0,74277.63535713324,241,488,63,4662.0,6642289.753573195,0.011182534654887024,0,235,6,0.012291223543359252,1.9751037344398341
46,46.0,46268.64654295661,152,312,30,2550.0,1928485.338889961,0.023992221050323833,0,144,8,0.025604551920341393,1.9473684210526316
47,47.0,59786.04541104842,167,331,37,1850.0,5570929.873346811,0.010731789265035416,6,158,3,0.025906643685921927,2.0179640718562872
48,48.0,15661.54173225059,64,143,24,2304.0,2136428.5648339237,0.007330711632508081,0,49,15,0.1016316371681416,1.765625
49,49.0,25150.7215061262,82,169,14,1316.0,1327704.1932012693,0.01894301579743038,0,77,5,0.02952906887559442,1.9390243902439024
50,50.0,92796.57917337024,287,574,27,81.0,2239325.4418352237,0.04143952345636704,0,287,0,0.0,2.0
51,51.0,57999.43068665251,181,363,29,1943.0,2987252.241884415,0.019415645546579412,0,180,1,0.002754778775959964,1.9944751381215469
52,52.0,68776.35084241362,218,440,44,616.0,3826714.465975314,0.01797268948439418,0,214,4,0.009089364593951748,1.981651376146789
53,53.0,27836.42545992046,91,187,12,924.0,1105265.1043779065,0.02518529296696476,0,86,5,0.026696467374433475,1.945054945054945
54,54.0,27989.48859175303,92,189,14,1274.0,1123163.3288605313,0.024920230097032148,0,87,5,0.026414865193101773,1.9456521739130435
55,55.0,71152.31159311594,169,310,48,2448.0,5020162.245513131,0.014173309170776248,28,141,0,0.06382772334853042,2.165680473372781
56,56.0,41822.34314788858,160,349,55,1320.0,8678173.298768317,0.004819256508028525,0,131,29,0.08159364261168385,1.81875
57,57.0,31571.958562232456,102,207,16,528.0,853504.1889950219,0.036990982550897125,0,99,3,0.014486391571553995,1.9705882352941178
58,58.0,85085.87335055001,263,526,27,1674.0,2210045.8593097734,0.03849959628309408,0,263,0,0.0,2.0
59,59.0,96107.93677009217,244,473,38,266.0,5190393.845251881,0.018516501759882967,19,221,4,0.042653912590033566,2.0614754098360657
60,60.0,42065.23888511414,136,277,19,760.0,1452538.3503775306,0.02895981291934972,0,131,5,0.018038114122053316,1.963235294117647
61,61.0,9863.727166389315,34,72,10,730.0,845875.0779765933,0.011660973852054146,0,30,4,0.05514705882352941,1.8823529411764706
62,62.0,42647.83328971564,147,313,41,328.0,3920639.7008011583,0.010877774175729747,0,128,19,0.060160791589363015,1.870748299319728
63,63.0,57167.119141284835,182,369,20,600.0,1684731.9863922524,0.033932470922989136,0,177,5,0.013544950870856163,1.9725274725274726
64,64.0,14278.360419658353,59,134,33,3201.0,2046756.7411071754,0.00697609057925203,0,43,16,0.11432369557992689,1.728813559322034
65,65.0,59847.941355484145,190,385,27,2133.0,4552004.712153961,0.013147600923102895,0,185,5,0.012982456140350878,1.9736842105263157
