,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,building_density,high,mid,low,status_Gini,avg_status
0,0.0,855871.2297036372,2607,5197,287,0,421396409.6619365,0.0020310358846916997,27,2570,10,0.007012427828933132,2.0065209052550825
1,1.0,746344.8343008652,2144,4210,443,443,757397085.4409248,0.0009854075869150916,137,1948,59,0.04251539200470392,2.0363805970149254
2,2.0,440059.5228451558,1419,2910,355,710,414045443.4022664,0.0010628290441482178,7,1333,79,0.029489262804099105,1.9492600422832982
3,3.0,374187.8988388036,1162,2321,280,1680,228648347.4961607,0.0016365213347762624,22,1121,19,0.017306749251287182,2.0025817555938037
4,4.0,342123.2406847953,927,1811,195,780,204715204.6973508,0.001671215585528136,63,844,20,0.04126881768124201,2.04638619201726
5,5.0,332222.1920930761,930,1827,167,501,186005826.16135696,0.0017860848713678404,59,845,26,0.04254099710875949,2.035483870967742
6,6.0,345970.520133568,1117,2285,188,1692,202529977.5573173,0.0017082435119297641,2,1062,53,0.0240410660877104,1.9543419874664278
7,7.0,271060.0427743268,719,1397,121,847,137987496.3653565,0.001964381193326585,62,636,21,0.05208947518386762,2.0570236439499303
8,8.0,233583.6272884276,740,1499,103,1236,89183427.9194333,0.0026191371282503614,3,715,22,0.0166555672715837,1.9743243243243243
9,9.0,281191.4846757156,864,1728,127,1397,139815100.1927177,0.0020111667787537126,6,852,6,0.006896219135802469,2.0
10,10.0,244786.72455350563,824,1711,210,2940,391781657.8249498,0.0006248039428708469,0,761,63,0.03670867661021102,1.9235436893203883
11,11.0,131111.99163150694,521,1158,223,1115,181144225.33763283,0.000723798903261358,0,405,116,0.09737877399750439,1.7773512476007678
12,12.0,211561.20495361462,710,1476,133,2261,152051251.58716443,0.0013913808847034429,1,652,57,0.03916608153318739,1.9211267605633804
13,13.0,113598.67946886522,402,856,100,800,87566253.49199013,0.0012972883381296692,0,350,52,0.06020429766063301,1.8706467661691542
14,14.0,66211.72556498573,217,445,33,330,13489729.967270646,0.004908306224485695,0,206,11,0.02468651610724363,1.9493087557603688
15,15.0,60248.12082961701,240,535,105,1365,68820606.81657033,0.0008754372217350273,0,185,55,0.09975490196078432,1.7708333333333333
16,16.0,22929.240632432262,97,220,36,576,19781079.338310167,0.0011591501272645436,0,71,26,0.1132793323514973,1.731958762886598
17,17.0,18458.04485082407,76,170,40,600,18561853.454236403,0.0009944074225309305,0,58,18,0.10251374705420267,1.763157894736842
18,18.0,21809.193515552488,69,139,10,180,1396006.1133302748,0.015622563044172536,0,68,1,0.0071934835501957055,1.9855072463768115
