,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,building_density,high,mid,low,status_Gini,avg_status
0,0.0,177609,526,1044,57,228.0,10206724.815244956,0.056780073869717174,0.017401174540800774,8,518,0,0.0074323839586770924,2.0152091254752853
1,1.0,207313,644,1291,64,960.0,22774290.528339304,0.022400441403669664,0.009102939990250367,0,641,3,0.002323754742973149,1.9953416149068324
2,2.0,219256,677,1355,64,192.0,19873032.6526557,0.017124750948831178,0.011032840524755044,0,676,1,0.0007380065743721758,1.9985228951255538
3,3.0,123285,380,760,41,1394.0,6095127.880379312,0.016551542087594077,0.020226811056231316,0,380,0,0.0,2.0
4,4.0,148173,462,931,46,644.0,9775745.914699795,0.030773515189862655,0.015157206549036037,0,455,7,0.007517927365255609,1.9848484848484849
5,5.0,180620,533,1057,98,196.0,26118960.762741495,0.11057615893694663,0.006915282795541127,22,498,13,0.031418473755399454,2.016885553470919
6,6.0,161713,505,1019,61,549.0,16440361.158553012,0.03582859202857335,0.009836341090102492,0,496,9,0.00883077318720883,1.9821782178217822
7,7.0,132241,375,737,70,2030.0,13240610.60699592,0.1344858853800972,0.009987530328104961,21,346,8,0.03624290083005679,2.034666666666667
8,8.0,284815,907,1853,249,1245.0,144945933.26814663,0.11126976042987637,0.0019649740670757477,5,858,44,0.02638756463810426,1.9570011025358325
9,9.0,206398,643,1295,134,1474.0,51116840.88147975,0.05513283442712684,0.004037769088245446,1,632,10,0.008490934843157624,1.9860031104199067
10,10.0,146453,451,908,75,900.0,22255900.086431656,0.05355526873077577,0.006580412359475198,2,441,8,0.010992437440608172,1.9866962305986697
11,11.0,149038,422,834,77,616.0,16278854.421583196,0.12108322472895304,0.009155312538602169,13,406,3,0.01824145088071745,2.023696682464455
12,12.0,100675,283,571,59,1829.0,9316368.178253794,0.20446043136271236,0.010806249610765161,14,250,19,0.05531515529436959,1.982332155477032
13,13.0,213297,678,1384,111,1776.0,62562910.560697064,0.0747018832924093,0.0034093202839894136,2,646,30,0.023092369477911646,1.9587020648967552
