,1,2,3,status_Gini
0,0.0,149.0,21.0,0.05769869076157109
1,2.0,394.0,18.0,0.023654839247043143
2,0.0,326.0,24.0,0.03306846999154691
3,0.0,251.0,10.0,0.018782926245210732
4,0.0,396.0,8.0,0.009801980198019802
5,0.0,526.0,1.0,0.0009478655904968365
6,33.0,438.0,8.0,0.03926032744548769
7,0.0,282.0,5.0,0.008634256566015321
8,0.0,206.0,33.0,0.06391801043674487
9,0.0,71.0,21.0,0.09942651373699653
10,64.0,248.0,3.0,0.07810166999747317
11,0.0,298.0,17.0,0.0262357906729848
12,7.0,327.0,4.0,0.01591707261810355
13,0.0,262.0,11.0,0.019732292629488894
14,0.0,186.0,7.0,0.01779977305972904
15,9.0,420.0,2.0,0.012431282189571714
16,0.0,87.0,34.0,0.11753019707565161
17,0.0,370.0,21.0,0.02611317051530662
18,0.0,197.0,5.0,0.012221146926722748
19,0.0,212.0,16.0,0.03381180223285486
20,0.0,305.0,0.0,0.0
21,1.0,355.0,10.0,0.01483270223491977
22,29.0,316.0,5.0,0.0435438042620363
23,0.0,57.0,17.0,0.09995873736331752
24,117.0,180.0,2.0,0.10267042549498796
25,0.0,240.0,29.0,0.05083223172486324
26,0.0,249.0,2.0,0.00396812749003984
27,0.0,321.0,22.0,0.03100741157048017
28,0.0,426.0,20.0,0.0219072695108405
29,0.0,177.0,45.0,0.08992074781548465
30,18.0,266.0,14.0,0.05042505592841163
31,0.0,280.0,19.0,0.030729951883364814
32,23.0,467.0,0.0,0.021854843632368202
33,0.0,494.0,1.0,0.001009079674398178
34,0.0,264.0,23.0,0.03839708607093849
35,0.0,102.0,21.0,0.07739837398373983
36,0.0,233.0,26.0,0.04754057193081583
37,35.0,445.0,13.0,0.044813902572523254
38,0.0,266.0,7.0,0.012654012654012654
39,0.0,499.0,6.0,0.005905092501282001
40,5.0,381.0,17.0,0.02672650336581433
41,0.0,385.0,11.0,0.013693270735524255
42,2.0,458.0,4.0,0.006432933641170775
43,38.0,283.0,4.0,0.05483580746738641
44,0.0,158.0,61.0,0.11673509925753667
45,1.0,229.0,30.0,0.05607864640451198
46,0.0,332.0,0.0,0.0
47,0.0,367.0,6.0,0.00797768277661039
48,2.0,214.0,15.0,0.03565402674534078
49,0.0,192.0,15.0,0.03486978315353602
50,386.0,14587.0,714.0,0.03407859151959046
